recency,frequency,monetary_value
108,21,418.0999999999999
37,118,3338.2200000000003
51,27,618.27
19,206,3811.2199999999993
9,132,3023.08
29,62,1032.5800000000004
28,64,2599.04
189,28,577.0600000000001
58,12,153.12
21,3,739.1999999999999
79,16,254.17999999999998
60,101,1579.51
78,60,1126.8500000000001
22,106,2099.54
52,65,1193.32
74,19,704.04
57,153,3344.38
277,20,315.59999999999997
2,105,2291.1899999999996
95,32,713.3
29,42,355.53000000000003
21,11,177.31
16,90,3641.24
14,92,1339.41
1,467,13689.67
232,11,180.09999999999997
276,18,305.1
106,38,641.13
211,86,2683.82
23,294,6620.48
10,230,4478.530000000001
4,41,786.4599999999999
9,64,1270.88
57,31,640.5
58,101,2163.98
89,101,1689.1800000000003
67,390,6021.9
33,39,671.69
238,22,486.1
23,53,1174.58
115,10,185.9
25,47,1013.26
128,24,3344.6399999999994
129,31,477.90999999999997
33,73,1775.1800000000003
4,45,1346.97
22,122,3722.82
154,21,318.04999999999995
107,31,623.51
3,20,314.44
334,9,114.0
331,48,919.98
148,43,2209.85
10,38,601.9799999999999
17,126,4051.17
11,47,1643.18
18,36,686.05
29,5,91.68
11,13,245.10000000000002
0,230,3849.7799999999997
8,37,4881.88
324,3,63.0
58,33,620.1300000000001
11,161,3807.15
150,101,2744.03
10,92,2996.0500000000006
329,10,225.9
5,42,610.52
38,83,1970.6000000000001
24,45,1331.39
42,165,17628.46
58,48,1113.02
0,52,862.8100000000002
14,638,13787.54
3,525,12288.220000000001
4,344,8476.57
7,105,2283.63
28,157,2863.08
371,7,89.14
113,171,4873.8099999999995
25,72,1247.61
205,16,389.01
28,32,1035.8
127,39,855.91
70,37,869.67
7,27,582.1
28,41,957.5899999999999
7,268,4939.99
79,53,797.71
19,12,219.0
71,21,283.55
7,88,2340.8399999999997
15,334,6868.290000000001
291,33,603.42
29,157,2712.91
15,208,9736.52
96,77,1149.0200000000002
28,133,4396.13
0,38,848.5500000000001
9,259,4708.860000000001
106,21,353.85999999999996
3,69,1053.4900000000002
151,55,1030.98
71,19,238.25
5,39,644.95
2,354,5781.730000000001
31,161,2656.13
85,53,997.6300000000001
3,69,725.07
5,53,1031.4099999999999
371,24,427.8
28,124,2609.1
10,139,3980.7000000000003
71,46,836.3299999999999
113,26,453.01000000000005
23,274,18895.91
179,12,236.26000000000005
234,22,383.95000000000005
352,4,110.39999999999999
315,43,779.57
332,4,234.00000000000003
372,11,155.35
78,38,1013.0400000000001
63,27,427.59999999999997
134,134,546.4300000000001
51,222,21279.29
2,103,4196.009999999999
0,4596,33719.73
3,199,4090.88
128,15,275.88
81,53,4366.780000000001
22,197,21429.39
235,63,3010.7400000000002
280,4,3811.9499999999994
86,4,112.08000000000001
15,371,7857.1
116,97,2791.59
52,95,1531.4400000000003
7,69,1898.5200000000004
138,18,494.08000000000004
316,45,1693.88
3,310,6989.63
238,32,1143.6
210,12,1351.4499999999998
59,55,892.4700000000001
17,66,1386.0400000000002
19,50,822.23
37,149,3981.3599999999997
63,25,826.74
4,103,2330.9200000000005
2,84,2225.91
9,59,574.4200000000001
364,14,311.95
9,20,463.65999999999997
65,4,91.85000000000001
192,21,324.9200000000001
373,2,192.60000000000002
256,25,400.53999999999996
334,24,545.48
53,45,860.41
18,14,430.48
365,13,254.03
10,8,6977.04
186,25,427.58
36,28,483.65000000000003
177,25,489.31
260,31,514.8499999999999
44,15,229.64
101,2,125.92
147,47,1063.46
95,29,572.2
281,4,166.04
261,14,1542.08
3,59,942.34
214,6,92.72
70,46,948.8800000000002
74,5,1759.5
59,25,397.11999999999995
2,91,1474.72
5,25,430.15
2,56,1018.71
336,11,293.0
37,38,6814.640000000001
262,9,215.05
32,27,383.03000000000003
145,24,417.38
282,18,312.38
59,175,2612.8599999999997
173,12,134.1
33,123,683.13
2,314,5591.42
143,113,2726.77
4,420,4022.35
70,34,1118.99
65,103,1702.2600000000002
29,52,325.96
267,27,354.09
22,91,871.5399999999998
31,51,1050.8899999999999
96,50,135.18
294,17,311.55
134,78,1957.1000000000004
78,110,1324.5000000000002
372,3,38.1
7,314,2179.93
210,46,1106.4
52,5,521.2
138,3,147.12
26,95,1568.23
283,26,559.12
26,538,4036.82
185,107,1607.0600000000002
84,11,380.64000000000004
326,66,599.9700000000001
282,4,374.0
143,2,343.2300000000001
57,85,2218.020000000001
3,154,1535.7700000000002
236,47,854.99
44,10,573.22
275,7,298.0
9,13,1463.0399999999997
24,42,703.47
88,7,309.05000000000007
63,71,1175.2199999999998
67,82,1378.3999999999999
214,5,354.12
24,82,380.47
185,3,331.0
30,34,188.14000000000001
42,22,372.8
204,4,216.5
8,116,17654.539999999997
264,10,138.67999999999998
18,72,509.58
11,63,2919.81
176,2,750.0
39,91,2178.67
23,75,3075.0400000000004
2,24,1662.3
4,50,2483.6299999999997
148,22,363.65
138,107,3006.1499999999996
128,2,594.0
8,50,1335.19
17,28,164.23000000000002
9,720,16587.09
161,28,405.38
64,29,176.97
88,30,933.7000000000002
4,45,694.05
35,84,2062.7
311,8,117.85
78,25,415.8
21,82,42055.96
24,106,607.53
2,129,2160.7
17,62,1063.8999999999999
15,120,1504.2700000000002
25,9,114.13999999999999
64,47,11581.800000000001
54,99,913.54
131,75,683.9000000000001
35,30,604.5099999999999
288,23,462.95000000000005
143,97,1603.99
16,116,2064.95
30,215,4167.22
2,23,1843.0
8,63,1064.07
5,79,1387.79
9,17,329.85
1,180,4757.160000000001
306,19,108.07
9,238,4017.54
7,16,266.39
8,95,1856.63
89,109,771.91
9,10,160.18
358,19,1660.9
112,5,135.95
7,151,452.24000000000007
3,305,11189.91
197,8,144.8
211,22,738.6
156,9,39.24
157,20,7374.9
29,20,372.2199999999999
242,28,390.53999999999996
18,4,97.5
0,76,1239.3799999999999
73,28,558.7
292,92,535.3200000000002
3,64,6924.110000000001
31,13,409.5000000000001
23,31,503.76000000000005
23,27,414.75999999999993
4,61,974.42
85,3,211.32
22,59,1226.89
196,28,455.88
106,31,534.8500000000001
4,339,9818.82
318,7,120.94999999999999
105,6,149.05
11,404,5655.91
173,26,513.6999999999999
56,4,81.57
323,14,229.47000000000003
372,3,50.550000000000004
9,89,1661.8400000000001
1,219,4810.94
10,110,3466.2799999999997
53,176,3346.2799999999997
73,47,789.8899999999999
7,1,204.0
16,458,7277.700000000001
4,131,2616.38
64,40,689.9000000000001
1,40,975.36
113,26,6912.0
22,45,661.3200000000002
30,10,1247.5
11,99,799.4800000000001
52,71,1010.1800000000002
357,11,190.54999999999998
54,37,642.7700000000001
73,27,921.88
138,48,881.07
80,28,908.46
8,43,676.99
273,13,516.4200000000001
291,33,560.47
99,18,305.28
30,35,629.31
31,172,3237.54
14,136,1835.9099999999999
64,14,656.6800000000002
14,403,5836.860000000001
212,18,348.15000000000003
78,76,1214.41
24,8,271.4
249,8,183.4
253,15,307.53000000000003
72,10,248.61
191,11,346.98
12,69,1119.4900000000002
373,14,205.85999999999999
24,48,470.79999999999995
82,15,115.46000000000001
10,2,344.0
0,425,4436.12
192,9,228.8
266,7,177.14999999999998
129,22,919.6100000000001
1,112,729.2700000000001
3,358,12627.939999999999
4,6,220.09999999999997
179,6,58.08
11,1028,28337.379999999997
126,73,3613.6299999999997
4,18,303.75
157,22,416.08000000000004
2,1818,58825.83
8,155,8910.819999999998
28,21,345.82000000000005
70,25,477.83000000000004
275,159,7832.470000000001
21,24,1927.3200000000002
70,6,74.4
32,423,6010.419999999999
1,572,28882.44
99,1,207.35999999999999
234,8,101.19
1,304,6424.089999999999
39,8,243.94
3,20,1098.48
133,1,76.5
44,58,1531.6200000000003
372,10,350.05999999999995
59,47,786.54
31,145,1488.67
0,201,12245.96
11,120,2294.7799999999997
138,30,501.14
21,76,984.9100000000001
19,79,1197.81
238,1,30.599999999999998
269,50,283.72999999999996
94,55,922.39
89,235,3866.33
4,140,2099.64
77,15,259.16999999999996
94,2,64.0
23,44,1073.2999999999997
261,3,77.3
273,7,109.80000000000001
85,98,1793.5800000000002
196,1,3096.0
56,127,2607.6099999999997
10,704,3650.41
22,63,962.39
16,170,5064.9400000000005
108,46,423.72
84,135,2388.75
19,23,307.0899999999999
332,3,110.94999999999999
39,6,618.52
26,17,228.91
10,4,712.8000000000001
29,319,3707.12
14,86,1676.0600000000002
295,74,1257.8700000000003
5,15,486.22
33,85,971.7600000000002
49,87,1741.2199999999998
94,79,1201.06
8,121,1437.85
22,4,91.8
313,8,112.75
122,79,1688.2899999999997
46,42,1021.48
283,41,417.20000000000005
18,65,791.3299999999999
36,131,1319.19
63,13,712.88
26,32,116.00999999999999
21,46,468.40999999999997
4,43,353.65000000000003
16,314,2817.0299999999997
46,72,492.84000000000003
64,17,282.45
26,265,5725.469999999999
45,11,121.18
7,94,3957.7800000000007
14,181,1701.29
267,1,71.4
39,79,1575.89
337,37,236.01999999999998
11,2,114.60000000000001
18,29,260.67999999999995
95,63,911.9400000000002
61,29,117.88000000000001
135,3,60.7
11,110,1797.78
10,226,3401.24
3,119,9817.119999999999
19,46,870.0900000000001
9,57,869.4599999999999
15,8,250.26000000000002
58,149,1223.9
30,321,5891.61
93,22,353.48
10,56,1197.42
19,142,788.0799999999999
56,90,1520.58
267,5,333.74
122,4,533.98
127,5,62.64
78,21,819.29
240,66,847.4100000000001
200,5,163.20000000000002
60,108,2155.9499999999994
3,32,6463.84
273,16,108.21
201,9,257.7
81,2,358.0
225,10,160.95
4,611,2806.9700000000003
12,207,1357.6000000000001
74,43,605.1199999999999
212,58,1031.0700000000002
24,36,744.85
17,31,700.7299999999999
261,22,329.56
96,67,663.6500000000001
112,13,270.40000000000003
203,58,600.0700000000002
92,27,121.74
50,16,430.5
18,141,1987.3
17,25,501.11999999999995
124,26,465.67999999999995
92,23,711.41
156,36,1030.3999999999999
9,13,399.51
14,1,0.0
11,38,698.5799999999999
61,87,292.31999999999994
61,8,557.62
268,9,944.1
263,11,200.29
1,1677,7454.07
53,91,2107.6600000000003
11,187,3834.26
2,211,4521.49
17,440,3214.69
1,316,5346.23
366,1,590.0
37,96,217.38
31,15,276.56000000000006
113,16,138.98
63,30,590.93
15,8,258.4
40,46,542.73
78,9,137.75
122,85,814.86
18,37,1132.14
59,7,93.66
330,13,201.19
23,187,2709.1200000000003
155,42,361.11
38,31,578.9399999999999
189,54,873.74
359,10,201.2
137,5,87.4
7,59,2089.85
1,2,360.0
268,5,142.5
169,20,371.89
103,81,618.09
155,1,63.75
351,21,300.41999999999996
4,81,2000.8599999999997
120,1,15.0
22,54,1385.51
7,107,1456.79
28,72,1132.0300000000002
4,26,598.57
22,78,1555.32
1,62,775.94
37,87,5977.7300000000005
66,124,2273.6800000000003
1,20,640.7600000000001
5,476,10845.55
78,106,1548.6999999999998
72,11,567.36
17,25,199.48
3,21,787.8499999999999
36,75,7121.95
81,12,675.3
38,108,3627.77
316,17,1308.48
31,17,789.0
92,53,1140.93
14,21,350.9
82,268,3536.8200000000006
77,51,795.1200000000001
157,19,487.02000000000004
200,54,860.12
45,134,10736.48
260,42,775.8499999999999
177,19,353.43
67,119,2543.7200000000007
287,20,389.5
70,8,341.36
64,14,233.76
10,16,247.32
16,40,979.12
66,16,373.94
60,24,397.97999999999996
71,51,743.5300000000001
122,32,674.7
80,42,768.2400000000001
257,90,609.95
268,29,439.03000000000003
63,23,439.55999999999995
9,166,3090.7400000000002
17,60,992.5
71,10,134.96
33,128,2225.37
50,1,56.160000000000004
256,29,623.4
365,14,308.28
371,39,754.8700000000001
89,23,378.63999999999993
60,158,3312.2500000000005
88,37,778.65
99,53,1019.76
26,97,572.56
31,172,3639.31
280,15,222.99
30,152,4151.93
329,35,534.5699999999999
131,35,677.1
11,51,797.9599999999999
74,13,544.08
203,1,59.8
1,155,2520.0200000000004
185,21,307.71999999999997
29,43,1360.99
72,38,1544.1299999999999
192,26,457.34000000000003
127,39,621.2300000000002
17,3,75.0
1,11,252.49
74,27,572.4509999999999
1,478,28117.04
24,28,1003.0600000000002
107,18,213.55
133,24,1390.5
43,19,712.5
4,28,640.83
11,304,6127.43
63,16,221.06
149,8,159.85
40,104,1851.08
64,127,2626.3
108,78,1624.2100000000003
0,157,3641.3199999999997
19,29,582.6
10,74,218.46999999999997
10,67,1006.7999999999998
18,49,679.4499999999999
67,46,1269.1
74,10,534.24
5,101,3809.89
1,12,196.88999999999996
14,167,3408.0600000000004
255,54,283.71
91,13,296.64000000000004
23,59,1129.1400000000003
16,195,3539.3700000000003
23,19,291.88000000000005
26,71,2043.72
26,443,2976.15
259,2,590.0
165,17,356.97999999999996
24,46,1058.3400000000001
17,63,1766.72
7,382,9646.57
29,17,183.44
38,27,1445.0000000000002
252,9,151.5
58,41,674.6800000000001
184,17,307.90000000000003
10,99,1083.71
1,302,5704.969999999999
99,10,165.0
1,260,2531.58
60,21,422.64000000000004
236,64,229.59
191,86,1431.7800000000002
178,58,1238.47
37,79,1454.5800000000002
200,15,300.95
45,109,1804.5600000000002
232,11,184.64
65,10,140.34
241,8,313.8
233,23,454.24
78,69,1122.4099999999999
57,34,575.4000000000001
17,422,8968.31
105,14,449.52
51,86,1215.8199999999997
136,50,1269.84
275,8,618.63
311,18,316.26000000000005
7,48,2044.87
10,35,653.3299999999999
282,19,348.04999999999995
17,42,1159.11
23,65,1166.77
288,52,1340.32
16,18,291.99999999999994
71,17,216.85000000000002
64,22,295.93000000000006
72,215,4393.63
316,26,458.52
3,162,2479.16
243,12,110.97000000000003
8,44,979.72
1,115,1791.56
260,15,251.20999999999998
126,10,205.09999999999997
73,4,152.20000000000002
72,59,891.12
21,44,1389.4100000000003
59,141,2128.42
85,38,659.4399999999998
78,8,122.75
58,93,3624.3499999999995
1,436,1093.65
30,5,125.80000000000001
33,172,3964.88
40,27,680.1800000000001
14,6,628.78
33,223,2287.51
78,15,307.76
205,22,483.80000000000007
33,66,210.30999999999995
182,76,270.79
2,296,5870.08
1,179,3448.29
43,25,1280.8500000000001
85,37,631.34
39,87,291.40999999999997
12,98,626.99
96,124,682.4100000000001
25,51,918.1999999999999
319,4,91.80000000000001
66,109,3740.0699999999997
73,136,4149.280000000001
28,34,584.06
5,175,605.06
7,33,174.36999999999998
215,14,141.86
81,82,1799.33
84,49,777.53
144,83,1749.0200000000004
19,38,240.22
40,176,874.71
173,44,192.85
17,85,373.74999999999994
243,27,239.49000000000004
12,341,2092.3199999999997
205,33,1384.2499999999998
50,26,294.4
23,46,732.07
10,126,6717.34
25,83,1687.6000000000001
14,23,467.0400000000001
309,10,118.0
155,53,781.03
306,24,142.4
63,8,712.4
15,174,2478.95
14,21,379.65000000000003
11,87,1981.9199999999994
64,58,1117.1299999999997
35,16,247.95999999999998
108,128,2037.0800000000002
52,26,396.97
5,166,697.0400000000001
47,40,180.17000000000002
1,247,5153.67
312,19,219.51999999999998
45,99,693.32
64,23,428.89
26,27,164.34
29,43,280.53999999999996
40,98,678.0100000000001
12,226,1131.88
89,74,1171.7999999999997
24,201,1610.46
318,23,417.6900000000001
40,44,544.1800000000001
173,13,177.34
116,19,213.85
30,81,747.7800000000001
252,19,257.22999999999996
59,92,1638.47
23,59,7792.360000000001
5,71,2031.7800000000002
99,11,3070.42
24,146,2121.27
33,188,1575.1599999999999
67,62,1071.03
36,63,949.12
52,101,810.5
15,8,122.64
74,40,1033.3400000000001
215,66,354.8
31,28,519.44
16,146,2624.26
120,5,252.1
9,79,1678.1200000000001
256,23,346.6
16,96,1836.3400000000001
35,6,94.2
45,63,1095.08
43,166,2707.33
114,56,932.97
164,49,379.65000000000003
10,16,382.14
9,108,2639.1700000000005
205,104,1573.1999999999998
85,53,897.76
179,13,189.46999999999997
60,12,84.65
149,87,305.0199999999999
2,470,6363.59
50,9,218.55
75,25,349.7
301,6,186.39
18,65,396.91999999999996
151,25,486.82000000000005
151,16,232.6
1,195,3722.42
17,57,827.83
187,3,59.5
285,30,67.23
2,39,3119.44
182,8,72.0
63,6,910.0
59,9,172.25
24,53,1488.32
3,568,65039.619999999995
31,90,2504.13
38,12,151.3
155,14,308.58
26,197,2265.12
318,1,99.5
5,134,2308.0600000000004
7,28,711.86
302,20,330.79
267,48,806.41
271,51,296.88
3,336,6328.05
31,8,180.48
218,13,252.06000000000003
246,10,228.83999999999997
281,105,1079.3400000000001
269,21,138.28
32,102,1445.0100000000002
246,12,306.55
15,60,1041.68
116,43,799.9
36,28,524.1400000000001
131,85,2375.41
217,6,199.85000000000002
49,104,1980.56
38,42,1079.6599999999999
28,20,333.48
36,63,1016.1400000000001
135,43,752.6
219,38,610.59
28,33,491.86000000000007
24,196,2885.2399999999993
5,191,731.8999999999999
200,30,339.6
18,3,216.9
240,23,350.75
71,34,668.4300000000001
16,321,3131.0199999999995
2,41,1341.6
95,72,1156.36
162,25,300.03999999999996
373,1,79.6
95,28,948.2499999999999
53,24,1647.26
288,9,296.25
124,76,1186.28
287,35,741.26
151,12,282.6
3,342,2161.35
2,142,5189.52
11,117,3190.55
33,25,659.41
54,57,286.78999999999996
50,70,1070.65
218,7,306.72
63,15,1714.9599999999998
70,208,1521.7600000000002
2,368,17220.36
2,135,2796.51
64,119,2634.45
33,177,1132.13
81,22,345.0
0,197,25977.160000000003
103,9,178.7
7,57,360.01000000000005
250,17,127.84
12,115,912.0
9,31,2462.7899999999995
367,7,230.4
75,31,309.04
4,45,348.79999999999995
127,11,1516.0
66,13,195.54999999999995
1,349,37153.85
116,39,688.8600000000001
309,33,558.32
66,23,324.79999999999995
138,60,4599.42
255,17,277.07000000000005
30,137,2635.79
52,13,924.5999999999999
63,10,256.38
367,7,112.6
5,76,1747.6600000000003
305,12,155.05
28,35,1499.0100000000002
183,13,814.5
42,36,539.0
39,69,1366.8600000000001
92,57,1579.1200000000001
22,176,4027.36
23,28,571.6700000000001
29,24,382.97999999999996
301,36,1140.35
144,59,385.64
5,96,632.0
18,40,957.66
32,46,1698.94
176,10,189.5
57,93,412.05
22,15,209.49000000000004
16,74,2202.99
19,3,52.199999999999996
159,29,384.7999999999999
25,55,834.57
211,19,271.24
5,174,691.7299999999999
252,1,85.0
58,206,3385.6200000000003
11,20,361.62
64,9,312.98
24,55,865.0600000000002
92,5,1255.0
51,101,1537.95
129,93,1595.4800000000002
95,81,2651.4599999999996
57,23,1090.1399999999999
8,110,8109.52
168,14,388.5
57,11,216.17000000000002
326,28,201.16
1,76,1245.9
18,139,2209.36
247,20,305.78
58,30,501.56
74,7,145.67
31,61,1015.29
7,33,3192.54
123,307,3104.95
2,115,2770.94
22,336,6403.25
119,23,389.59999999999997
358,18,540.45
53,104,1786.79
63,7,122.69999999999999
86,3,117.24000000000001
54,36,1281.53
21,165,3219.7700000000004
3,178,17159.52
2,65,1191.13
10,142,2674.48
7,59,787.6000000000001
189,28,506.8
71,16,243.56
204,19,349.54999999999995
119,40,605.63
92,15,416.9
1,110,1883.8100000000004
26,27,632.97
297,21,821.1000000000001
23,27,564.6200000000001
28,118,2593.0699999999997
50,17,311.15999999999997
325,12,155.93
16,19,388.52
183,43,740.9499999999999
72,149,2867.2
37,26,332.64000000000004
79,122,2369.55
57,148,2580.91
11,33,626.45
49,18,272.03999999999996
49,30,1212.8400000000004
59,28,384.81000000000006
351,7,172.24999999999997
53,20,351.13000000000005
1,117,1838.85
92,41,678.25
23,11,223.85000000000002
74,21,348.99000000000007
10,27,464.57
169,9,842.65
57,17,337.34
95,58,1237.53
294,16,307.4
109,23,608.7899999999998
263,31,922.0999999999999
179,26,376.5799999999999
169,9,158.85
35,7,71.66
23,45,568.55
17,49,839.14
21,45,5112.96
79,11,561.57
65,5,90.6
360,3,101.99999999999999
2,160,2427.3199999999997
11,35,745.0600000000001
176,39,674.4499999999998
217,137,3251.071
7,20,3515.6799999999994
1,25,439.92
154,33,322.96
5,152,1026.42
79,92,598.1999999999999
21,12,230.22
21,11,169.55
308,35,664.5400000000001
145,2,80.7
7,626,9053.939999999999
18,149,2758.26
70,15,190.25000000000003
287,11,264.7
49,28,413.59
31,338,2526.2799999999997
206,10,357.98
14,15,196.79
73,54,869.8699999999998
60,11,200.14000000000001
39,111,1871.81
29,107,2603.4300000000003
26,16,920.51
4,351,7060.13
17,13,320.46000000000004
19,234,4147.96
65,41,1266.08
213,16,311.3
12,84,855.9700000000001
30,5,76.8
42,121,3466.3600000000006
3,155,2313.1400000000003
15,86,1393.69
10,208,3901.81
211,15,635.6600000000001
45,39,2043.0800000000002
134,47,529.7299999999999
43,171,4582.639999999999
9,84,2874.72
115,30,962.1899999999999
198,42,695.6099999999999
277,11,328.8
110,34,473.02
77,39,505.18
52,20,917.34
161,161,4341.21
46,66,1421.61
16,39,642.8000000000001
155,22,631.9000000000001
225,28,440.0
7,31,584.0699999999999
121,16,327.70000000000005
60,6,104.82000000000002
63,15,467.66
18,243,2360.0899999999997
7,250,17286.86
2,143,2975.59
22,89,651.8199999999999
28,66,1428.0200000000002
284,38,626.65
176,28,147.2
78,92,1560.3799999999994
33,6,152.2
40,235,3614.92
266,21,141.41
26,209,652.8199999999999
109,6,1659.75
284,14,154.99
8,32,1308.6100000000001
305,85,409.93
16,488,5681.72
31,54,746.3599999999999
0,210,15610.390000000003
19,56,225.36
124,4,260.25
65,6,92.46
106,10,725.6400000000001
1,1106,8214.65
23,284,6217.959999999999
266,8,183.6
4,202,6140.42
9,111,10464.850000000002
29,80,1353.74
266,7,152.55
63,52,374.7
320,24,265.85
3,324,1438.8200000000002
32,13,151.04
4,43,942.26
129,46,122.47
40,42,499.4200000000001
101,65,1049.37
124,12,375.0999999999999
32,4,45.599999999999994
302,153,934.52
364,29,182.24999999999997
4,181,1018.4300000000001
2,450,4448.540000000001
2,69,194.42
10,589,50491.81
56,14,161.0
324,1,76.32000000000001
7,214,4076.91
12,105,442.84999999999997
4,5111,65164.79
36,21,147.34999999999997
16,250,3104.17
137,26,194.90000000000003
73,35,5976.790000000001
5,79,1360.28
154,21,216.20999999999998
239,74,1266.23
51,123,2703.23
30,34,597.9100000000001
72,9,144.2
3,156,5683.1500000000015
14,10,692.85
22,160,2915.15
3,34,1840.4199999999998
273,15,386.53
19,72,1382.7399999999998
143,3,90.0
3,159,2780.15
84,5,419.58000000000004
10,167,2740.4300000000003
7,15,706.1300000000001
122,44,709.7099999999999
60,46,637.5000000000002
1,52,1123.8600000000001
319,67,483.86
2,200,3586.0299999999997
129,28,605.6399999999999
1,134,4690.3099999999995
1,47,982.3800000000002
46,26,415.81999999999994
3,66,935.05
2,40,915.1300000000001
373,22,311.81
133,7,115.8
46,11,3742.2
8,210,4191.0
78,5,483.4
233,3,157.2
220,28,446.62000000000006
35,26,658.64
75,49,621.29
239,52,1345.62
266,6,118.75
9,1400,117379.63
19,48,432.88
40,41,507.65999999999997
19,1204,4693.01
215,108,1110.52
173,25,289.36
87,52,2445.9100000000003
70,29,1631.7700000000004
275,25,122.54
39,52,574.84
98,58,363.79
10,29,450.8400000000001
33,26,134.46
59,149,3222.3
297,31,576.9
86,42,559.4100000000001
8,327,1620.9300000000003
40,165,719.78
10,240,4748.52
66,24,452.89
331,3,197.65
30,65,2054.36
2,265,4654.08
1,259,4684.76
67,42,853.3900000000001
4,579,11349.52
201,7,1011.9999999999998
106,6,335.52
18,39,701.4
218,2,185.39999999999998
60,37,747.4400000000002
2,44,161.02999999999994
16,24,466.70000000000005
239,20,328.15999999999997
94,10,151.73999999999998
10,87,2073.4300000000003
105,102,1905.8400000000001
53,112,2241.1000000000004
89,9,1070.48
30,67,1004.3800000000001
11,108,1789.72
3,59,1839.3000000000002
1,100,2004.9799999999998
42,12,169.48000000000002
4,7,89.94
247,21,632.3999999999999
42,193,3432.8
177,41,683.1700000000001
92,60,991.1300000000001
110,118,1050.1200000000001
28,67,2232.19
26,175,3350.96
